age,body_type,diet,drinks,drugs,height,sex,smokes
22,a little extra,anything,socially,never,75.0,m,sometimes
35,average,other,often,sometimes,70.0,m,no
31,average,anything,socially,never,65.0,f,no
37,athletic,anything,not at all,never,65.0,m,no
28,average,anything,socially,never,72.0,m,no
30,skinny,anything,socially,never,66.0,f,no
29,thin,anything,socially,never,62.0,f,no
31,average,vegetarian,rarely,never,71.0,m,no
33,athletic,anything,socially,never,72.0,m,no
27,average,anything,socially,never,67.0,f,no
30,fit,anything,socially,never,69.0,m,no
30,thin,vegan,not at all,never,71.0,m,no
33,thin,anything,socially,sometimes,73.0,m,sometimes
28,fit,anything,rarely,never,70.0,m,no
22,fit,anything,socially,never,72.0,m,trying to quit
22,average,anything,socially,never,67.0,m,no
27,athletic,anything,socially,never,72.0,m,no
38,average,anything,socially,never,67.0,f,no
20,average,vegetarian,socially,never,60.0,f,no
27,thin,anything,socially,never,69.0,m,when drinking
32,athletic,anything,socially,never,69.0,m,when drinking
30,average,anything,often,sometimes,75.0,m,no
29,curvy,anything,socially,sometimes,66.0,f,no
28,average,anything,often,sometimes,70.0,m,no
31,thin,anything,socially,sometimes,67.0,f,no
26,athletic,anything,socially,never,66.0,f,no
38,athletic,anything,socially,never,65.0,f,no
33,fit,anything,rarely,never,69.0,m,no
33,athletic,anything,socially,never,70.0,m,no
31,fit,anything,socially,never,67.0,m,no
31,thin,anything,socially,sometimes,70.0,m,when drinking
28,athletic,anything,socially,never,72.0,m,no
29,fit,vegetarian,socially,never,68.0,m,no
22,athletic,anything,rarely,never,65.0,m,no
35,athletic,anything,socially,sometimes,73.0,m,no
31,curvy,anything,socially,never,61.0,f,no
26,fit,anything,often,sometimes,72.0,m,no
34,curvy,anything,socially,never,67.0,f,no
21,fit,anything,rarely,never,71.0,m,no
31,average,anything,socially,never,69.0,m,no
34,fit,anything,socially,never,69.0,m,no
27,a little extra,anything,often,never,61.0,f,no
37,average,anything,socially,never,64.0,f,no
24,average,anything,socially,never,74.0,m,yes
29,fit,anything,socially,sometimes,67.0,m,no
31,curvy,anything,socially,sometimes,66.0,f,no
46,average,anything,socially,never,72.0,m,no
30,fit,anything,socially,never,68.0,m,no
41,athletic,anything,socially,often,69.0,m,no
39,athletic,other,socially,sometimes,70.0,m,no
31,thin,anything,socially,never,63.0,f,no
42,fit,anything,socially,never,65.0,f,no
45,fit,anything,socially,never,64.0,f,no
21,athletic,anything,rarely,never,72.0,m,no
29,fit,anything,socially,never,66.0,m,no
23,curvy,anything,rarely,never,66.0,f,when drinking
36,fit,anything,often,sometimes,70.0,m,no
21,average,vegetarian,not at all,never,65.0,f,no
50,fit,anything,socially,never,75.0,m,no
23,athletic,anything,socially,sometimes,66.0,m,trying to quit
21,thin,anything,socially,often,70.0,m,sometimes
27,curvy,anything,socially,never,62.0,f,no
32,curvy,vegetarian,socially,never,68.0,f,trying to quit
39,average,anything,rarely,never,68.0,f,no
22,athletic,anything,socially,never,68.0,m,no
50,average,anything,often,never,73.0,m,no
32,fit,anything,socially,never,62.0,f,no
59,fit,anything,socially,never,73.0,m,no
36,fit,anything,often,sometimes,73.0,m,no
26,fit,anything,not at all,never,73.0,m,no
29,thin,anything,socially,never,61.0,f,no
29,average,vegetarian,socially,never,68.0,f,no
54,full figured,anything,socially,never,69.0,f,no
20,thin,anything,rarely,never,72.0,m,no
26,curvy,anything,socially,never,63.0,f,no
26,fit,anything,socially,never,68.0,f,no
33,thin,anything,rarely,never,66.0,f,no
62,fit,anything,socially,never,73.0,m,no
27,athletic,anything,socially,never,68.0,m,no
29,a little extra,halal,often,never,72.0,m,when drinking
25,a little extra,anything,often,sometimes,71.0,m,when drinking
32,fit,anything,socially,never,69.0,m,no
21,fit,anything,socially,never,66.0,f,no
27,curvy,anything,often,never,68.0,f,no
33,athletic,anything,socially,never,60.0,f,no
28,athletic,anything,rarely,never,67.0,f,no
37,fit,anything,not at all,never,79.0,m,no
28,thin,vegetarian,rarely,never,61.0,f,no
42,fit,anything,socially,never,71.0,m,no
32,a little extra,anything,socially,never,63.0,f,sometimes
28,athletic,anything,socially,sometimes,67.0,m,trying to quit
27,fit,anything,socially,never,65.0,f,no
28,fit,anything,socially,never,67.0,m,no
29,fit,anything,socially,never,66.0,f,no
31,fit,anything,socially,never,63.0,f,when drinking
43,curvy,anything,socially,never,69.0,f,no
24,fit,anything,often,never,69.0,f,no
30,thin,anything,socially,never,66.0,f,no
